MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1111657,No,FS ELLIOT,2/3V800,BELT,V,BELT|V
1111883,No,FS ELLIOT,B54,BELT,V,BELT|V
1112313,No,GOODRICH B F,5V1500,BELT,V,BELT|V
1112420,No,FS ELLIOT,3V425,BELT,V,BELT|V
1112941,No,FS ELLIOT,3/5V1700,BELT,V,BELT|V
1113652,No,,B56,BELT,V,BELT|V
1113799,No,RKL PRODUCTS,3/5VX1320,BELT,V,BELT|V
1113972,No,,B97,BELT,V,BELT|V
1114079,No,,BX52,BELT,V,BELT|V
1115280,No,FS ELLIOT,4/5V1700,BELT,V,BELT|V
1115528,Yes,FS ELLIOT,23018799,BELT,V,
1115729,Yes,FS ELLIOT,23294978,BELT,V,
1115960,No,,2/5V1250,BELT,V,BELT|V
1116170,No,INGERSOLL RAND,4/5V2360,BELT,V,BELT|V
1116228,No,,AX96,BELT,V,BELT|V
1117148,No,CARTER DAY INTERNATIONAL,15488,BELT,V,BELT|V
1117952,Yes,FS ELLIOT,23101009,BELT,V,
1117957,Yes,GATES,8V2360,BELT,V,
1118157,New,GATES,3V500,BELT,V,BELT|V
1118180,No,,8V1800,BELT,V,BELT|V
1118229,No,,B90,BELT,V,BELT|V
1118329,No,,5V1700,BELT,V,BELT|V
1121193,No,GATES,3V540,BELT,V,BELT|V
1121589,Yes,GATES,B42,BELT,V,
1121828,No,GATES,AA80,BELT,V,BELT|V
1122137,Yes,GATES,5L450,BELT,V,
1122145,No,DAYTON,5L490,BELT,V,BELT|V
1122182,No,VULCO ROPER,B55S,BELT,V,BELT|V
1122269,No,TB WOODS,840XH200,BELT,TIMING,BELT|TIMING
1122455,Yes,GATES,4L530,BELT,V,
1122577,No,GOODYEAR,5/C144,BELT,V,BELT|V
1122583,Yes,,9361,BELT,TIMING,
1122688,Yes,GATES,2300,BELT,V,
1122764,Yes,GATES,B105,BELT,V,
1122951,Yes,GATES,A66,BELT,V,
1123150,No,,BX81,BELT,V,BELT|V
1123350,Yes,,4L480,BELT,V,
1124241,No,AMETEK,C3V600,BELT,V,BELT|V
1124304,No,,B97S,BELT,V,BELT|V
1124401,Yes,GATES,B60,BELT,V,
1124411,Yes,GATES,2340,BELT,V,
1124619,Yes,GATES,3L300,BELT,V,
1124866,Yes,GATES,B90,BELT,V,
1125064,Yes,GATES,2450,BELT,V,
1125481,No,DAYTON,4L500,BELT,V,BELT|V
1125696,Yes,,B57,BELT,V,
1125986,Yes,GATES,B78,BELT,V,
1126487,No,,CP180,BELT,V,BELT|V
1126746,Yes,,A35,BELT,V,
1126840,Yes,GATES,B66,BELT,V,
1126844,No,,3L360,BELT,V,BELT|V
1127185,No,,5V1180,BELT,V,BELT|V
1127193,No,SAG,B133,BELT,V,BELT|V
1127634,No,TRU FLEX,1320,BELT,V,BELT|V
1127773,No,GOODRICH B F,5V710,BELT,V,BELT|V
1127774,No,GOODYEAR,3230HV58,BELT,V,BELT|V
1128127,New,GATES,C128,BELT,V,BELT|V
1128570,No,GATES,5/C210,BELT,V,BELT|V
1129008,Yes,GATES,B51,BELT,V,
1129422,New,GATES,A60,BELT,V,BELT|V
1129465,Yes,GATES,2390,BELT,V,
1129785,Yes,GATES,B81,BELT,V,
1129996,Yes,GATES,3L480,BELT,V,
1129997,Yes,DAYTON,4L270,BELT,V,
1130168,No,GATES,1430,BELT,V,BELT|V
1130245,No,GATES,B144P,BELT,V,BELT|V
1130392,No,AMETEK,367L050,BELT,TIMING,BELT|TIMING
1130408,Yes,GATES,6936,BELT,V,
1130443,Yes,GATES,5V1000,BELT,V,
1130778,No,US RUBBER,390L050,BELT,TIMING,BELT|TIMING
1130799,Yes,GATES,2290,BELT,V,
1131039,No,GATES,2830V366,BELT,V,BELT|V
